sample_id,input_type,bam_path,bam_path2,species,population,region,reef_site,lat,lon
Oann_101,merge_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_101.bwa.dedup.clip.bam,/work/vollmer/orbicella_genomics/results/bams/Oann_101.filtered.cram,Oannularis,FL_RR,"NFWF, Lower Keys",Patch reef off Cudjoe,24.596433,-81.461733
Oann_102,merge_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_102.bwa.dedup.clip.bam,/work/vollmer/orbicella_genomics/results/bams/Oann_102.filtered.cram,Oannularis,FL_RR,"NFWF, Middle Keys",Marathon Offshore,24.704617,-80.937767
Oann_103,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_103.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Middle Keys",Delta Shoal,24.63245,-81.087795
Oann_105,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_105.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Key West",Charlies Patch Reef,24.569136,-81.652676
Oann_106,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_106.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Lower Keys",Mid Channel Patch 1,24.501167,-81.746336
Oann_107,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_107.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Lower Keys",Mid Channel Patch 1,24.500853,-81.747037
Oann_108,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_108.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Lower Keys",Nearshore Boca Chica,24.560485,-81.664323
Oann_109,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_109.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Lower Keys",Nearshore Boca Chica,24.56425,-81.657394
Oann_110,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_110.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Lower Keys",Nearshore Boca Chica,24.556209,-81.673834
Oann_111,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_111.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Middle Keys",Lower Matecumbe Nearshore,24.837086,-80.729397
Oann_115,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_115.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Upper Keys",North Horseshoe,25.149315,-80.291995
Oann_116,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_116.bwa.dedup.clip.bam,,Oannularis,FL_RR,"NFWF, Upper Keys",Horseshoe,25.139001,-80.295298
Oann_17,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_17.bwa.dedup.clip.bam,,Oannularis,FL_RR,Upper Keys,Patch reefs off Key Largo,24.989766,-80.4629666667
Oann_21,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_21.bwa.dedup.clip.bam,,Oannularis,FL_RR,Upper Keys,Patch reefs off Key Largo,24.99305,-80.4607833333
Oann_23,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_23.bwa.dedup.clip.bam,,Oannularis,FL_RR,Upper Keys,Patch reefs off Key Largo,24.9879,-80.4636333333
